date,spy_close,ema200,adx,plus_di,minus_di,roc126,score_ema,score_adx,score_roc,raw_score,confirmed_alloc,prev_alloc,action
2026-03-24,653.18,657.26,36.5,11.9,36.6,-1.49,0,0,0,0,0.0,,INIT
2026-03-24,653.18,655.95,36.5,11.9,36.6,-1.49,0,0,0,0,0.0,0.0,HOLD
2026-03-24,653.18,655.95,36.5,11.9,36.6,-1.49,0,0,0,0,0.0,0.0,HOLD
2026-03-24,653.18,655.95,36.5,11.9,36.6,-1.49,0,0,0,0,0.0,0.0,HOLD
2026-03-25,656.82,655.95,36.9,14.1,34.5,-0.4,1,0,0,1,0.0,0.0,HOLD
2026-03-25,656.82,655.95,36.9,14.1,34.5,-0.4,1,0,0,1,0.0,0.0,HOLD
2026-03-26,645.09,655.8,37.8,12.9,38.4,-1.87,0,0,0,0,0.0,0.0,HOLD
2026-03-27,634.09,655.58,39.2,11.8,43.6,-3.09,0,0,0,0,0.0,0.0,HOLD
2026-03-27,634.09,655.46,39.2,11.8,43.6,-3.09,0,0,0,0,0.0,0.0,HOLD
2026-03-27,634.09,655.46,39.2,11.8,43.6,-3.09,0,0,0,0,0.0,0.0,HOLD
2026-03-27,634.09,653.78,39.2,11.8,43.6,-3.09,0,0,0,0,0.66,0.0,INCREASE_EQUITY
2026-03-27,634.09,653.6,39.2,11.8,43.6,-3.09,0,0,0,0,0.66,0.66,HOLD
2026-03-27,634.09,657.96,39.2,11.8,43.6,-3.09,0,0,0,0,0.0,0.66,DECREASE_EQUITY
2026-03-27,634.09,657.96,39.2,11.8,43.6,-3.09,0,0,0,0,0.0,0.0,HOLD
2026-03-30,631.97,658.15,40.7,10.8,42.9,-3.97,0,0,0,0,0.0,0.0,HOLD
2026-03-31,650.34,658.41,40.4,16.9,37.2,-1.45,0,0,0,0,0.0,0.0,HOLD
2026-04-01,655.24,658.74,39.4,20.8,35.1,-1.08,0,0,0,0,0.0,0.0,HOLD
